# XKCD color survey colors
# https://blog.xkcd.com/2010/05/03/color-survey-results/
dark taupe:                 #7f684e
cool grey:                  #95a3a6
canary:                     #fdff63
booger green:               #96b403
muted pink:                 #d1768f
hazel:                      #8e7618
dark royal blue:            #02066f
vivid purple:               #9900fa
racing green:               #014600
leather:                    #ac7434
green/blue:                 #01c08d
sunflower yellow:           #ffda03
rich purple:                #720058
pale magenta:               #d767ad
light yellowish green:      #c2ff89
indigo blue:                #3a18b1
dark fuchsia:               #9d0759
yellow tan:                 #ffe36e
wintergreen:                #20f986
violet pink:                #fb5ffc
topaz:                      #13bbaf
seafoam blue:               #78d1b6
light gold:                 #fddc5c
grey/green:                 #86a17d
foam green:                 #90fda9
creme:                      #ffffb6
clear blue:                 #247afd
ugly blue:                  #31668a
terracota:                  #cb6843
very dark brown:            #1d0200
straw:                      #fcf679
parchment:                  #fefcaf
orangey yellow:             #fdb915
greyish teal:               #719f91
sapphire:                   #2138ab
nice blue:                  #107ab0
browny orange:              #ca6b02
washed out green:           #bcf5a6
tiffany blue:               #7bf2da
light seafoam:              #a0febf
light neon green:           #4efd54
light bright green:         #53fe5c
light bluish green:         #76fda8
rosy pink:                  #f6688e
peachy pink:                #ff9a8a
pale light green:           #b1fc99
old rose:                   #c87f89
fern:                       #63a950
dusk blue:                  #26538d
camo:                       #7f8f4e
burnt siena:                #b75203
tealish green:              #0cdc73
swamp:                      #698339
sand brown:                 #cba560
rust brown:                 #8b3103
orangeish:                  #fd8d49
light royal blue:           #3a2efe
cocoa:                      #875f42
baby purple:                #ca9bf7
raw sienna:                 #9a6200
radioactive green:          #2cfa1f
light pea green:            #c4fe82
cinnamon:                   #ac4f06
squash:                     #f2ab15
charcoal grey:              #3c4142
bright yellow green:        #9dff00
baby puke green:            #b6c406
poison green:               #40fd14
light lavendar:             #efc0fe
indian red:                 #850e04
dark cream:                 #fff39a
toupe:                      #c7ac7d
butterscotch:               #fdb147
burple:                     #6832e3
tan green:                  #a9be70
sun yellow:                 #ffdf22
pale gold:                  #fdde6c
light light green:          #c8ffb0
lichen:                     #8fb67b
green/yellow:               #b5ce08
darkgreen:                  #054907
azul:                       #1d5dec
sunny yellow:               #fff917
sickly yellow:              #d0e429
kelley green:               #009337
bruise:                     #7e4071
browny green:               #6f6c0a
battleship grey:            #6b7c85
off blue:                   #5684ae
manilla:                    #fffa86
greenish beige:             #c9d179
deep brown:                 #410200
darkish pink:               #da467d
custard:                    #fffd78
ugly brown:                 #7d7103
stormy blue:                #507b9c
liliac:                     #c48efd
baby shit brown:            #ad900d
reddish grey:               #997570
powder pink:                #ffb2d0
eggplant purple:            #430541
egg shell:                  #fffcc4
very light brown:           #d3b683
tea green:                  #bdf8a3
orange pink:                #ff6f52
light grey green:           #b7e1a1
kiwi green:                 #8ee53f
boring green:               #63b365
light pastel green:         #b2fba5
candy pink:                 #ff63e9
purply:                     #983fb2
purpley grey:               #947e94
dusty lavender:             #ac86a8
desert:                     #ccad60
deep lilac:                 #966ebd
pig pink:                   #e78ea5
olive yellow:               #c2b709
light seafoam green:        #a7ffb5
light moss green:           #a6c875
lavender pink:              #dd85d7
deep aqua:                  #08787f
bland:                      #afa88b
strong pink:                #ff0789
green teal:                 #0cb577
deep turquoise:             #017374
dark green blue:            #1f6357
bright sea green:           #05ffa6
booger:                     #9bb53c
blue with a hint of purple: #533cc6
blue blue:                  #2242c7
windows blue:               #3778bf
toxic green:                #61de2a
strong blue:                #0c06f7
spruce:                     #0a5f38
pinkish tan:                #d99b82
macaroni and cheese:        #efb435
grey teal:                  #5e9b8a
dusty teal:                 #4c9085
dark grass green:           #388004
cement:                     #a5a391
yellowish tan:              #fcfc81
warm purple:                #952e8f
tea:                        #65ab7c
really light blue:          #d4ffff
nasty green:                #70b23f
light eggplant:             #894585
fresh green:                #69d84f
electric lime:              #a8ff04
dust:                       #b2996e
dark pastel green:          #56ae57
cloudy blue:                #acc2d9
